account_code,account_name,level,parent_code,statement_type,category,postable
1000000000.000,สินทรัพย์,1,,งบแสดงฐานะการเงิน,สินทรัพย์รวม,0
1100000000.000,สินทรัพย์หมุนเวียน,2,1000000000.000,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,0
1101000000.000,เงินสดและรายการเทียบเท่าเงินสด,3,1100000000.000,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,0
1101010000.000,เงินสดในมือ,4,1101000000.000,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,0
1101010101.001,เงินสดในมือ,6,1101010100.000,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,1
1101020000.000,เงินฝากคลังและสถาบันการเงิน,4,1101000000.000,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,0
1101020500.000,เงินฝากคลังและหน่วยงานภาครัฐอนื่,5,1101020000.000,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,0
1101020501.001,เงินฝากกระทรวงการคลัง,6,1101020500.000,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,1
1101030000.000,เงินฝากและรายการเทียบเท่าเงนิ สดอนื่,4,1101000000.000,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,0
1101030101.001,เงินฝากกระแสรายวันที่สถาบันการเงิน,6,1101030100.000,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,1
1101030102.001,เงินฝากออมทรัพย์ที่สถาบัน,6,1101030100.000,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,1
1101030199.001,เงินฝากประจำ-ระยะสั้น ไม่เกิน 3 เดือน,6,1101030100.000,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,1
1102000000.000,ลูกหนี้หมุนเวียนและรายได้ค้างรับ,3,1100000000.000,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,0
1102010000.000,ลูกหนี้เงินยืมและเงนิ ทดรองราชการ,4,1102000000.000,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,0
1102010102.001,ลูกหนี้เงินยืม,6,1102010100.000,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,1
1102010102.002,ลูกหนี้เงินยืมเงินสะสม,6,1102010100.000,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,1
1102010102.003,ลูกหนี้เงินยืมเงินสะสมกิจการเฉพาะการ,6,1102010100.000,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,1
1102030000.000,เงินให้กู้ยืม - บุคคลภายนอก,4,1102000000.000,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,0
1102030102.001,เงินให้กู้ยืมระยะสั้น-เงินทุนโครงการเศรษฐกิจ,6,1102030100.000,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,1
1102030102.002,ส่วนของเงินให้กู้ยืมระยะยาวที่ถึงกำหนดชำระ,6,1102030100.000,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,1
1102030102.003,สัญญาเงินให้กู้ยืมที่จะถึงกำหนดชำระคืน,6,1102030100.000,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,1
1102030102.997,ส่วนของเงินให้กู้ยืมระยะยาวที่ถึงกำหนดชำระ,6,1102030100.000,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,1
1102030102.998,สัญญาเงินให้กู้ยืมที่จะถึงกำหนดชำระคืน,6,1102030100.000,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,1
1102030102.999,เงินให้กู้ยืมระยะสั้น-อื่น,6,1102030100.000,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,1
1102050000.000,ลูกหนี้หมุนเวียนและรายได้ค้างรับอื่น,4,1102000000.000,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,0
1102050101.001,ลูกหนี้ค่าสินค้าและบริการ - หน่วยงานภาครัฐ,6,1102050100.000,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,1
1102050102.001,ลูกหนี้ค่าสินค้าและบริการ - บุคคลภายนอก,6,1102050100.000,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,1
1102050106.001,รายได้ค้างรับ - หน่วยงานภาครัฐ,6,1102050100.000,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,1
1102050107.001,รายได้ค้างรับ - บุคคลภายนอก,6,1102050100.000,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,1
1102050107.002,ดอกเบี้ยรับจำนำค้างรับ,6,1102050100.000,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,1
1102050123.001,ค่าเผื่อหนี้สงสัยจะสูญ - ลูกหนี้ค่าสินค้า,6,1102050100.000,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,1
1102050123.002,ค่าเผื่อหนี้สงสัยจะสูญ - ลูกหนี้ภาษีโรงเรือน,6,1102050100.000,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,1
1102050123.003,ค่าเผื่อหนี้สงสัยจะสูญ - ลูกหนี้ภาษีบำรุงท้องที่,6,1102050100.000,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,1
1102050123.004,ค่าเผื่อหนี้สงสัยจะสูญ - ลูกหนี้ภาษีป้าย,6,1102050100.000,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,1
1102050123.005,ค่าเผื่อหนี้สงสัยจะสูญ - ลูกหนี้ภาษีที่ดิน,6,1102050100.000,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,1
1102050123.006,ค่าเผื่อหนี้สงสัยจะสูญ - ลูกหนี้ค่ารักษาพยาบาล,6,1102050100.000,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,1
