subdistrict,district,province,budget_year,project_id,project_name,project_type,dept_name,dept_sub_name,purchase_method,purchase_method_group,announce_date,transaction_date,budget_amount,reference_price,contract_value,price_ratio,project_status,contract_no,contract_date,contract_finish_date,contract_duration_days,contract_status,winner_name,winner_tin,latitude,longitude,fraud_risk_flag,fraud_risk_issues,data_quality_note,source_file
ท่าช้าง,บางกล่ำ,สงขลา,2566,65127236035,ประกวดราคาจ้างก่อสร้างโครงการเสริมผิวลาดยางแอสฟัลติกคอนกรีต ถนนสาย สข.1058 แยกทางหลวงหมายเลข 4 - นิคมอุตสาหกรรมฉลุง ขนาดผิวจราจรกว้าง 14.00 - 21.00 เมตร หนา 0.05 - 0.07 เมตร ไหล่ทางกว้างข้างละ 0.00 -2.30 เมตร ระยะทาง 4.225 กิโลเมตร ตำบลท่าช้าง อำเภอบางกล่ำ และตำบลฉลุง อำเภอหาดใหญ่ จังหวัดสงขลา ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างก่อสร้าง,กรมทางหลวงชนบท,แขวงทางหลวงชนบทสงขลา,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,2023-01-10,2023-02-27,42200000,42204516.82,42180000,0.9994,ระหว่างดำเนินการ,300/2566,2023-02-27,2023-07-04,127,ระหว่างดำเนินการ,ห้างหุ้นส่วนจำกัด เพชรรุ่งโรจน์ก่อสร้าง,0933543000545,7.030023817125638,100.4037094116211,,,,โครงการท่าช้าง66.csv
ท่าช้าง,บางกล่ำ,สงขลา,2566,65047072637,ประกวดราคาจ้างก่อสร้างขยายผิวจราจรถนนลาดยางแอสฟัลต์คอนกรีต สายบ้านท่าไทร ตำบลท่าช้าง อำเภอบางกล่ำ - บ้านบางเหรียง ตำบลบางเหรียง อำเภอควนเนียง จังหวัดสงขลา  กว้าง ๑๒.๐๐ เมตร ระยะทาง ๑.๐๐๐  กิโลเมตร รหัสสายทาง สขถ.๑-๐๐๔๔  รายละเอียดตามแบบแปลนขององค์การบริหารส่วนจังหวัดสงขลา ที่ ท-๐๐๗/๒๕๖๔ ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างก่อสร้าง,องค์การบริหารส่วนจังหวัดสงขลา,องค์การบริหารส่วนจังหวัดสงขลา,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,2022-09-06,2022-11-03,12500000,12640463.33,12489000,0.9880,ระหว่างดำเนินการ,23/2566,2022-11-03,2023-04-02,150,ระหว่างดำเนินการ,ห้างหุ้นส่วนจำกัด เอส.แอล.เอส.คอนส์,0903561002228,7.04631366041095,100.389197304342,,,,โครงการท่าช้าง66.csv
ท่าช้าง,บางกล่ำ,สงขลา,2566,66027162573,"ประกวดราคาจ้างก่อสร้างถนนคอนกรีตเสริมเหล็ก รหัสทางหลวงท้องถิ่น สข.ถ. 23022 สายหัวสะพาน - คลองวาด หมู่ที่ 11 บ้านท่าไทร ตำบลท่าช้าง กว้าง 10 เมตร ยาว 919 เมตร และ กว้าง 5 เมตร ยาว 50 เมตร หนา 0.15 เมตร หรือมีพื้นที่ไม่น้อยกว่า 9,440 ตารางเมตร เทศบาลตำบลท่าช้าง อำเภอบางกล่ำ จังหวัดสงขลา ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)",จ้างก่อสร้าง,เทศบาลตำบลท่าช้าง,เทศบาลตำบลท่าช้าง,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,2023-03-08,2023-04-25,9577000,9565997.61,7031000,0.7350,ระหว่างดำเนินการ,15/2566,2023-04-25,2023-11-21,210,ระหว่างดำเนินการ,บริษัท พินันท์พัฒน์ก่อสร้าง จำกัด,0905545001419,7.0259348986609025,100.44971466064453,,,,โครงการท่าช้าง66.csv
ท่าช้าง,บางกล่ำ,สงขลา,2566,66049389166,ประกวดราคาจ้างก่อสร้างงานวางท่อติดตั้งประปาให้แก่ บจ.หาดใหญ่นครินทร์ หมู่ 1 ต.ท่าช้าง อ.บางกล่ำ จ.สงขลา การประปาส่วนภูมิภาคสาขาหาดใหญ่ (ชั้นพิเศษ) ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างก่อสร้าง,การประปาส่วนภูมิภาค,การประปาส่วนภูมิภาคเขต 5,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,2023-05-11,2023-06-15,6145955,5652236,3745000,0.6626,ระหว่างดำเนินการ,กปภ.ข.5/45/2566,2023-06-15,2023-10-17,124,ระหว่างดำเนินการ,ห้างหุ้นส่วนจำกัด วัฒนะวิศวการโยธา 96,0903539000579,7.04631366041095,100.389197304342,,,,โครงการท่าช้าง66.csv
ท่าช้าง,บางกล่ำ,สงขลา,2566,66059298239,ประกวดราคาจ้างก่อสร้างคูระบายน้ำ คสล.สายบ้านชักพระ ตำบลควนลัง อำเภอหาดใหญ่ - บ้านหนองขวน ตำบลท่าช้าง อำเภอบางกล่ำ จังหวัดสงขลา กว้าง ๐.๕๐ เมตร ลึก ๐.๗๐  เมตร ยาว ๘๖๘.๐๐ เมตร รหัสสายทาง สข.ถ.๑-๐๒๑๐ รายละเอียดตามแบบแปลนขององค์การบริหารส่วนจังหวัดสงขลา ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างก่อสร้าง,องค์การบริหารส่วนจังหวัดสงขลา,องค์การบริหารส่วนจังหวัดสงขลา,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,2023-06-21,2023-09-14,3500000,3795596.02,2730000,0.7193,ระหว่างดำเนินการ,119/2566,2023-09-14,2024-01-12,120,ระหว่างดำเนินการ,ห้างหุ้นส่วนจำกัด ซี เจ พี คอนสตรัคชั่น,0923551000061,7.040357208208308,100.389197304342,,,,โครงการท่าช้าง66.csv
ท่าช้าง,เฉลิมพระเกียรติ,นครราชสีมา,2566,65117013990,จ้างเหมาบริการซ่อมแซมถนนลาดยางแอสฟัลท์ติกคอนกรีต บริเวณถนนสายกลางนา 2 หมู่ที่ 4 ตำบลท่าช้าง อำเภอบางกล่ำ จังหวัดสงขลา โดยวิธีเฉพาะเจาะจง,จ้างทำของ/จ้างเหมาบริการ,เทศบาลตำบลท่าช้าง,เทศบาลตำบลท่าช้าง,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,,2022-11-04,499500,499500,499500,1.0000,ระหว่างดำเนินการ,1/2566,2022-11-04,2022-12-04,30,ระหว่างดำเนินการ,ห้างหุ้นส่วนจำกัด หาดใหญ่ กรุ๊ป,0903551000541,,,,,ไม่มีพิกัด,โครงการท่าช้าง66.csv
ท่าช้าง,บางกล่ำ,สงขลา,2566,66037431109,จ้างย้ายแนวบ้านบางเหรียง (ช่วง3) ถ.สายบางเหรียง-บางเหรียง ต.ท่าช้าง อ.บางกล่ำ จ.สงขลา โดยวิธีเฉพาะเจาะจง,จ้างก่อสร้าง,การไฟฟ้าส่วนภูมิภาค,การไฟฟ้าส่วนภูมิภาคสาขาหาดใหญ่,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,,2023-04-25,487973,487973,487588.3,0.9992,สิ้นสุดสัญญา,3002221907,2023-04-25,2023-05-25,30,สิ้นสุดสัญญา,ห้างหุ้นส่วนจำกัด หาดใหญ่อาร์.เอส.เอ็นจิเนียริ่ง,0903537001543,7.04631366041095,100.389197304342,,,,โครงการท่าช้าง66.csv
ท่าช้าง,เฉลิมพระเกียรติ,นครราชสีมา,2566,66037243948,จ้างซ่อมแซมหลุมบ่อถนนดินลูกรัง ภายใน หมู่ที่ 9 บ้านป่ายาง ตำบลท่าช้าง อำเภอบางกล่ำ จังหวัดสงขลา โดยวิธีเฉพาะเจาะจง,จ้างทำของ/จ้างเหมาบริการ,เทศบาลตำบลท่าช้าง,เทศบาลตำบลท่าช้าง,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,,2023-04-25,461227.07,461227.07,461200,0.9999,ระหว่างดำเนินการ,18/2566,2023-04-25,2023-06-24,60,ระหว่างดำเนินการ,สุวรรณมณีวัสดุ,390110115xxxx,,,,,ไม่มีพิกัด; TIN ถูกปกปิดบางส่วนในต้นฉบับ,โครงการท่าช้าง66.csv
ท่าช้าง,เฉลิมพระเกียรติ,นครราชสีมา,2566,66027247390,จ้างจ้างซ่อมแซมถนนดินลูกรัง สายป้ายอ้ายเท่ง - ควนสูง - อนามัยป่ายาง หมู่ที่ 9 และหมู่ที่ 10 ตำบลท่าช้าง อำเภอบางกล่ำ จังหวัดสงขลา โดยวิธีเฉพาะเจาะจง,จ้างทำของ/จ้างเหมาบริการ,เทศบาลตำบลท่าช้าง,เทศบาลตำบลท่าช้าง,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,,2023-02-24,397574.77,397574.77,397500,0.9998,ระหว่างดำเนินการ,12/2566,2023-02-24,2023-04-10,45,ระหว่างดำเนินการ,บริษัท เอชวายจี เอ็นจิเนียริ่ง จำกัด,0915564000457,,,,,ไม่มีพิกัด,โครงการท่าช้าง66.csv
ท่าช้าง,เฉลิมพระเกียรติ,นครราชสีมา,2566,66037438042,"จ้างซ่อมแซมผิวจราจรแอสฟัลท์ติกคอนกรีต ภายในเขตพื้นที่ หมู่ที่ 7,12 และหมู่ที่ 16 ตำบลท่าช้าง อำเภอบางกล่ำ จังหวัดสงขลา โดยวิธีเฉพาะเจาะจง",จ้างทำของ/จ้างเหมาบริการ,เทศบาลตำบลท่าช้าง,เทศบาลตำบลท่าช้าง,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,,2023-04-04,367700,367700,367700,1.0000,ระหว่างดำเนินการ,13/2566,2023-04-04,2023-05-04,30,ระหว่างดำเนินการ,ห้างหุ้นส่วนจำกัด หาดใหญ่ กรุ๊ป,0903551000541,,,,,ไม่มีพิกัด,โครงการท่าช้าง66.csv
