ปีงบประมาณ,เลขที่โครงการ,ชื่อโครงการ,ประเภทโครงการ,วิธีการจัดหา,สถานะโครงการ,งบประมาณโครงการ,ราคากลางโครงการ,วงเงินสัญญารวม,สัญญาต่อราคากลาง,ผู้รับจ้าง,ตรวจพบความเสี่ยงทุจริต,ประเด็นเสี่ยงทุจริต
2568,68029081546,จ้างโครงการก่อสร้างถนนคอนกรีตเสริมเหล็ก บ้านห้วยลึก หมู่ที่ 7 จากสวนนายเจริญ ภูริบริบูรณ์ - สวน นายธเนศ โกวิทย์พนาดร โดยวิธีเฉพาะเจาะจง,จ้างก่อสร้าง,เฉพาะเจาะจง,ระหว่างดำเนินการ,490500,487355.44,487300,0.9999,ที เอ็น ดับเบิ้ลยู เชียงดาวก่อสร้าง,TRUE,ส่อหั่นสัญญาแบ่งช่วง หรือหลีกเลี่ยงการประมูล
2568,67109289604,ซื้อจัดซื้อวัสดุงานบ้านงานครัว อาหารเสริม (นม) ภาคเรียนที่ 2 ปีการศึกษา 2567 และปิดภาคเรียน ของโรงเรียนสังกัดสำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน (สพฐ.) และโรงเรียนสังกัด (สพฐ.) ในโครงการพระราชดำริ โดยวิธีเฉพาะเจาะจง,ซื้อ,เฉพาะเจาะจง,ระหว่างดำเนินการ,2032906.5,2032906.5,2032906.5,1,องค์การส่งเสริมกิจการโคนมแห่งประเทศไทย (อ.ส.ค.),FALSE,
2568,68039298502,จ้างโครงการปรับปรุงผิวทางจราจรลูกรังบดอัดแน่น บ้านแม่มะกู้ หมู่ที่ 12 จากทางเข้าวัดป่าเรไร ถึงป่าช้าวัดป่าเรไร โดยวิธีเฉพาะเจาะจง (เลขที่โครงการ : 68039298502),จ้างทำของ/จ้างเหมาบริการ,เฉพาะเจาะจง,จัดทำสัญญา/PO แล้ว,0,4618.42,0,,ส.สายฝาง คอนสตรัคชั่น 2019,TRUE,ราคากลางสูง/ต่ำกว่างบประมาณ
2568,68079054687,ซื้ออาหารเสริม (นม) ประจำภาคเรียนที่ 1 ประจำปีการศึกษา 2568 ของโรงเรียนสังกัดสำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน (สพฐ.) และโรงเรียนสังกัด (สพฐ.) ในโครงการพระราชดำริ โดยวิธีเฉพาะเจาะจง,ซื้อ,เฉพาะเจาะจง,ระหว่างดำเนินการ,1009720.14,1009720.14,1009720.14,1,องค์การส่งเสริมกิจการโคนมแห่งประเทศไทย (อ.ส.ค.),FALSE,
2568,67119033131,จ้างโครงการก่อสร้างลานคอนกรีตอเนกประสงค์ บ้านปางมะกง (หย่อมก๊อตป่าบง) หมู่ที่ 11 โดยวิธีเฉพาะเจาะจง,จ้างก่อสร้าง,เฉพาะเจาะจง,ระหว่างดำเนินการ,445970,448670.55,445000,0.9918,ที เอ็น ดับเบิ้ลยู เชียงดาวก่อสร้าง,FALSE,
2568,68019118227,ซื้อครุภัณฑ์สำนักงาน (สำนักปลัด) จำนวน 5 รายการ โดยวิธีเฉพาะเจาะจง,ซื้อ,เฉพาะเจาะจง,ระหว่างดำเนินการ,392600,392600,392600,1,พีเอสวาย อินเตอเนชั่น,FALSE,
2568,67109002953,ซื้อจัดซื้อวัสดุงานบ้านงานครัว อาหารเสริม นม ภาคเรียนที่ 2 2567 งานระดับก่อนวัยเรียนและประถมศึกษา โดยวิธีเฉพาะเจาะจง,ซื้อ,เฉพาะเจาะจง,ระหว่างดำเนินการ,344549.4,344549.4,344549.4,1,องค์การส่งเสริมกิจการโคนมแห่งประเทศไทย (อ.ส.ค.),FALSE,
2568,68039445759,จ้างโครงการก่อสร้างถนนคอนกรีตเสริมเหล็ก บ้านป่าตึงงาม หมู่ที่ 14 ทางเข้าสุสานบ้านป่าตึงงาม โดยวิธีเฉพาะเจาะจง,จ้างก่อสร้าง,เฉพาะเจาะจง,ระหว่างดำเนินการ,320600,316914.71,316500,0.9987,ส.สายฝางคอนสตรัคชั่น2019,FALSE,
2568,67119132436,จ้างโครงการก่อสร้างลานอเนกประสงค์ศูนย์พัฒนาเด็กเล็กเทศบาลตำบลปิงโค้ง บ้านห้วยลึก หมู่ที่ 7 โดยวิธีเฉพาะเจาะจง,จ้างก่อสร้าง,เฉพาะเจาะจง,ระหว่างดำเนินการ,313900,304028.6,304000,0.9999,ที เอ็น ดับเบิ้ลยู เชียงดาวก่อสร้าง,FALSE,
2568,68039172761,จ้างโครงการก่อสร้างถนนคอนกรีตเสริมเหล็ก บ้านปางเฟือง หมู่ที่ 2 จากบ้านนายนคร มาแดง - สวนนายแสงฟ้า ชนกเศรณี โดยวิธีเฉพาะเจาะจง,จ้างก่อสร้าง,เฉพาะเจาะจง,ระหว่างดำเนินการ,293750,247787.89,247000,0.9968,ที เอ็น ดับเบิ้ลยู เชียงดาวก่อสร้าง,FALSE,
