ตำบล,เทศบาล,ปีงบประมาณ,ประเภทงบ,หมวดหมู่,รายการบัญชี,หมายเหตุ,มูลค่า,หน่วย,ระดับรายละเอียด,หมายเหตุคุณภาพข้อมูล,ไฟล์ต้นฉบับ
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,เงินสดและรายการเทียบเท่าเงินสด,4,21577688.01,บาท,line_item,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,ลูกหนี้เงินโอนและรายการอุดหนุนระยะสั้น,5,34516.27,บาท,line_item,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,ลูกหนี้อื่นระยะสั้น,6,91101.17,บาท,line_item,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,เงินลงทุนระยะสั้น,7,5510823.99,บาท,line_item,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,วัสดุคงเหลือ,8,42078.2,บาท,line_item,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,สินทรัพย์หมุนเวียนอื่น,9,17725.23,บาท,line_item,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,รวมสินทรัพย์หมุนเวียน,,27273932.87,บาท,subtotal,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงฐานะการเงิน,สินทรัพย์ไม่หมุนเวียน,เงินลงทุนระยะยาว,10,2349015.94,บาท,line_item,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงฐานะการเงิน,สินทรัพย์ไม่หมุนเวียน,ที่ดิน อาคาร และอุปกรณ์ - สุทธิ,11,21475145.8,บาท,line_item,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงฐานะการเงิน,สินทรัพย์ไม่หมุนเวียน,สินทรัพย์โครงสร้างพื้นฐาน - สุทธิ,12,44202281.5,บาท,line_item,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงฐานะการเงิน,สินทรัพย์ไม่หมุนเวียน,รวมสินทรัพย์ไม่หมุนเวียน,,68026443.24,บาท,subtotal,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงฐานะการเงิน,สินทรัพย์รวม,รวมสินทรัพย์,,95300376.11,บาท,total,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงฐานะการเงิน,หนี้สินหมุนเวียน,เจ้าหนี้เงินโอนและรายการอุดหนุนระยะสั้น,13,266400.0,บาท,line_item,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงฐานะการเงิน,หนี้สินหมุนเวียน,เจ้าหนี้อื่นระยะสั้น,14,119781.15,บาท,line_item,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงฐานะการเงิน,หนี้สินหมุนเวียน,เงินรับฝากระยะสั้น,15,832929.15,บาท,line_item,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงฐานะการเงิน,หนี้สินหมุนเวียน,รวมหนี้สินหมุนเวียน,,1219110.3,บาท,subtotal,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงฐานะการเงิน,หนี้สินไม่หมุนเวียน,เงินรับฝากระยะยาว,16,210755.0,บาท,line_item,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงฐานะการเงิน,หนี้สินไม่หมุนเวียน,รวมหนี้สินไม่หมุนเวียน,,210755.0,บาท,subtotal,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงฐานะการเงิน,หนี้สินรวม,รวมหนี้สิน,,1429865.3,บาท,total,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงฐานะการเงิน,สินทรัพย์สุทธิ_ส่วนทุน,รายได้สูง/(ต่ำ) กว่าค่าใช้จ่ายสะสม,19,93870510.81,บาท,line_item,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงฐานะการเงิน,สินทรัพย์สุทธิ_ส่วนทุน,รวมสินทรัพย์สุทธิ/ส่วนทุน,,93870510.81,บาท,subtotal,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงฐานะการเงิน,หนี้สินและส่วนทุนรวม,รวมหนี้สินและสินทรัพย์สุทธิ/ส่วนทุน,,95300376.11,บาท,total,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงผลการดำเนินงาน,รายได้,รายได้จากงบประมาณ,20,0.0,บาท,line_item,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงผลการดำเนินงาน,รายได้,รายได้ภาษีจัดสรร,21,20522383.96,บาท,line_item,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงผลการดำเนินงาน,รายได้,รายได้จากการขายสินค้าและบริการ,22,147.0,บาท,line_item,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงผลการดำเนินงาน,รายได้,รายได้จากการอุดหนุนจากหน่วยงานภาครัฐ,23,20044252.69,บาท,line_item,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงผลการดำเนินงาน,รายได้,รายได้จากการจัดเก็บภาษี ค่าธรรมเนียม ค่าปรับ และใบอนุญาต,24,1171396.37,บาท,line_item,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงผลการดำเนินงาน,รายได้,รายได้จากการอุดหนุนอื่นและบริจาค,25,119.61,บาท,line_item,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงผลการดำเนินงาน,รายได้,รายได้ของกิจการเฉพาะการและหน่วยงานภายใต้สังกัด,26,14469.47,บาท,line_item,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงผลการดำเนินงาน,รายได้,รายได้อื่น,27,244436.56,บาท,line_item,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงผลการดำเนินงาน,รายได้รวม,รวมรายได้,,41997205.66,บาท,total,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าใช้จ่ายบุคลากร,28,12925915.99,บาท,line_item,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าบำเหน็จบำนาญ,29,0.0,บาท,line_item,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าตอบแทน,30,276921.0,บาท,line_item,,financial_report_yonok_2567.csv
