subdistrict,district,province,budget_year,project_id,project_name,project_type,dept_name,dept_sub_name,purchase_method,purchase_method_group,announce_date,transaction_date,budget_amount,reference_price,contract_value,price_ratio,project_status,contract_no,contract_date,contract_finish_date,contract_duration_days,contract_status,winner_name,winner_tin,latitude,longitude,fraud_risk_flag,fraud_risk_issues,data_quality_note,source_file
โยนก,เชียงแสน,เชียงราย,2566,66079021729,"จ้างขุดลอกหนองช้างสาธารณประโยชน์ หมู่ที่ ๔ ตำบลโยนก อำเภอเชียงแสน จังหวัดเชียงราย ใช้ประโยชน์ร่วมกับ หมู่ที่ ๘ ตำบลท่าข้าวเปลือก อำเภอแม่จัน จังหวัดเชียงราย สภาพเดิมพื้นที่โดยเฉลี่ย ๓-๐-๕๐ ไร่ (๕,๐๐๐.๐๐ ตารางเมตร) ลึก ๒.๕๐ เมตร ขุดลอกใหม่ให้มีพื้นที่โดยเฉลี่ย ๓-๐-๕๐ ไร่ (๕,๐๐๐.๐๐ ตารางเมตร) ลึก ๔.๖๐ เมตร หรือปริมาตรดินขุดไม่น้อยกว่า ๙,๕๐๐.๐๐ ลูกบาศก์เมตร รายละเอียดตามแบบแปลนและรายการที่ อบจ.ชร. กำหนด โดยวิธีเฉพาะเจาะจง",จ้างก่อสร้าง,องค์การบริหารส่วนจังหวัดเชียงราย,องค์การบริหารส่วนจังหวัดเชียงราย,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,,2023-07-20,500000,500436,498000,0.9951,ระหว่างดำเนินการ,267/2566,2023-07-20,2023-10-18,90,ระหว่างดำเนินการ,บริษัท ภูริเดช คอร์ปอเรชั่น จำกัด,0575564001571,20.2371801445711,100.06410567934101,,,,โครงการโยนก66.csv
โยนก,เชียงแสน,เชียงราย,2566,66017482870,จ้างขุดลอกคลองสูบน้ำสถานีพลังงานไฟฟ้า แห่งที่ 1 หมู่ที่ 4 ตำบลโยนก อำเภอเชียงแสน จังหวัดเชียงราย ใช้ประโยชน์ร่วมกับหมู่ที่ 8 ตำบลท่าข้าวเปลือก อำเภอแม่จัน จังหวัดเชียงราย โดยวิธีเฉพาะเจาะจง,จ้างก่อสร้าง,องค์การบริหารส่วนจังหวัดเชียงราย,องค์การบริหารส่วนจังหวัดเชียงราย,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,,2023-03-03,500000,500543,498000,0.9949,ระหว่างดำเนินการ,123/2566,2023-03-03,2023-05-02,60,ระหว่างดำเนินการ,บริษัท ห้าเล็บการโยธา จำกัด,0575552001007,20.2371801445711,100.06410567934101,,,,โครงการโยนก66.csv
โยนก,เชียงแสน,เชียงราย,2566,66017436246,จ้างขุดลอกหนองคัน หมู่ที่ 4 ตำบลโยนก อำเภอเชียงแสน จังหวัดเชียงราย ใช้ประโยชน์ร่วมกับ หมู่ที่ 8 ตำบลท่าข้าวเปลือก อำเภอแม่จัน จังหวัดเชียงราย โดยวิธีเฉพาะเจาะจง,จ้างก่อสร้าง,องค์การบริหารส่วนจังหวัดเชียงราย,องค์การบริหารส่วนจังหวัดเชียงราย,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,,2023-02-06,500000,502055,498000,0.9919,ระหว่างดำเนินการ,88/2566,2023-02-06,2023-04-07,60,ระหว่างดำเนินการ,ห้างหุ้นส่วนจำกัด สุขเกษม ทรัพย์เพิ่่มพูน,0573559003062,20.2371801445711,100.06410567934101,,,,โครงการโยนก66.csv
โยนก,เชียงแสน,เชียงราย,2566,66079380991,"จ้างธนาคารน้ำใต้ดินระบบเปิดหนองตีนผา  ม.4 ต.โยนก อ.เชียงแสน  จ.เชียงราย ขนาดพื้นที่ 2-3-87.5 ไร่ (4,750.00 ตร.ม.) ลึก  5.00 ม. หรือปริมาตรดินขุดไม่น้อยกว่า 7,400.00 ลบ.ม. รายละเอียดตามแบบแปลนและรายการที่องค์การบริหารส่วนจังหวัดเชียงรายกำหนด (สำนักช่าง) โดยวิธีเฉพาะเจาะจง",จ้างก่อสร้าง,องค์การบริหารส่วนจังหวัดเชียงราย,องค์การบริหารส่วนจังหวัดเชียงราย,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,,2023-07-21,500000,492000,490000,0.9959,ระหว่างดำเนินการ,273/2566,2023-07-21,2023-09-19,60,ระหว่างดำเนินการ,ห้างหุ้นส่วนจำกัด วรรณวัฒน์ 2018,0573561001781,20.2371801445711,100.06410567934101,,,,โครงการโยนก66.csv
โยนก,เชียงแสน,เชียงราย,2566,66079360151,"จ้างโครงการธนาคารน้ำใต้ดินระบบเปิดหนองหว้าสาธารณประโยชน์ ม.๕ ต.โยนก อ.เชียงแสน จ.เชียงราย ขนาดกว้าง ๔๕.๐๐ ม. ยาว ๔๕.๐๐ ม. ลึก ๗.๕๐ ม. หรือปริมาตรดินขุดไม่น้อยกว่า ๗,๓๐๐.๐๐ ลบ.ม. รายละเอียดตามแบบแปลนและรายการที่ อบจ.ชร. กำหนด (สำนักช่าง) โดยวิธีเฉพาะเจาะจง",จ้างก่อสร้าง,องค์การบริหารส่วนจังหวัดเชียงราย,องค์การบริหารส่วนจังหวัดเชียงราย,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,,2023-08-18,500000,491000,490000,0.9980,ระหว่างดำเนินการ,322/2566,2023-08-18,2023-10-17,60,ระหว่างดำเนินการ,ห้างหุ้นส่วนจำกัด วรรณวัฒน์ 2018,0573561001781,20.2371801445711,100.06410567934101,,,,โครงการโยนก66.csv
โยนก,เชียงแสน,เชียงราย,2566,66099596437,"จ้างขุดลอกห้วยเลาหลวง ใช้ประโยชน์ร่วมกันระหว่าง หมู่ที่ ๑, หมู่ที่ ๓ ตำบลโยนก อำเภอเชียงแสน จังหวัดเชียงราย สภาพเดิมพื้นที่โดยเฉลี่ย ๔-๑-๒๕ ไร่ (๖,๙๐๐.๐๐ ตารางเมตร) ลึกเฉลี่ย ๓.๕๐ เมตร ขุดลอกใหม่ให้มีพื้นที่โดยเฉลี่ย ๔-๑-๒๕ ไร่ (๖,๙๐๐.๐๐ ตารางเมตร) ลึกเฉลี่ย ๔.๕๐ เมตร หรือปริมาตรดินขุดไม่น้อยกว่า ๖,๙๐๐.๐๐ ลูกบาศก์เมตร รายละเอียดตามแบบแปลนและรายการที่ อบจ.ชร.กำหนด โดยวิธีเฉพาะเจาะจง",จ้างก่อสร้าง,องค์การบริหารส่วนจังหวัดเชียงราย,องค์การบริหารส่วนจังหวัดเชียงราย,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,,2023-09-27,489900,491000,488000,0.9939,ระหว่างดำเนินการ,390/2566,2023-09-27,2023-11-11,45,ระหว่างดำเนินการ,ห้างหุ้นส่วนจำกัด รุ่งทรัพย์เจริญกิจการโยธา,0573559002511,20.2371801445711,100.06410567934101,,,,โครงการโยนก66.csv
โยนก,เชียงแสน,เชียงราย,2566,66099599752,"จ้างโครงการขุดลอกหนองป่าคาย้อย ใช้ประโยชน์ร่วมกันระหว่างหมู่ที่ 3, หมู่ที่ 6  ตำบลโยนก อำเภอเชียงแสน จังหวัดเชียงราย ขนา",,,,,,,,,,,,,,,,,,,,,,,,ไม่มีพิกัด; แถวถูกตัดกลางคันในไฟล์ต้นฉบับ ข้อมูลท้ายแถวหายไป,โครงการโยนก66.csv
โยนก,เชียงแสน,เชียงราย,2567,67069287728,ประกวดราคาจ้างก่อสร้างปรับปรุง/ซ่อมแซมระบบประปาหมู่บ้านแบบผิวดิน  บ้านสันธาตุใหม่พัฒนา หมู่ที่ 9 ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างก่อสร้าง,เทศบาลตำบลโยนก,เทศบาลตำบลโยนก,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,2024-07-12,2024-09-02,970000,970000,848000,0.8742,ระหว่างดำเนินการ,26/2567,2024-09-02,2024-12-01,90,ระหว่างดำเนินการ,ห้างหุ้นส่วนจำกัด สัญชัยพานิชลำปาง,0523523000187,20.237180144571,100.06410567934,,,,โครงการโยนก67.csv
โยนก,เชียงแสน,เชียงราย,2567,67089407733,ซื้อชุดไฟฟ้าส่องสว่างระบบโซล่าเซลล์ตามโครงการติดตั้งไฟฟ้าส่องสว่างระบบโซล่าเซลล์เพื่อชุมชน โดยวิธีเฉพาะเจาะจง,ซื้อ,เทศบาลตำบลโยนก,เทศบาลตำบลโยนก,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,,2024-08-21,495000,495000,492900,0.9958,ระหว่างดำเนินการ,6/2567,2024-08-21,2024-11-19,90,ระหว่างดำเนินการ,บริษัท พีเอพี คอนสตรัคชั่น 1988 จำกัด,0575566001039,,,,,ไม่มีพิกัด,โครงการโยนก67.csv
โยนก,เชียงแสน,เชียงราย,2567,67099581759,จ้างก่อสร้างถนนคอนกรีตเสริมเหล็ก รหัสทางหลวงท้องถิ่น ชร.ถ.๑๑๖-๐๓ ช่วงหมู่ที่ ๕ เชื่อม หมู่ที่ ๗ โดยวิธีเฉพาะเจาะจง,จ้างก่อสร้าง,เทศบาลตำบลโยนก,เทศบาลตำบลโยนก,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,,2024-09-24,490000,490000,489000,0.9980,ระหว่างดำเนินการ,27/2567,2024-09-24,2024-11-23,60,ระหว่างดำเนินการ,บริษัท พีเอพี คอนสตรัคชั่น 1988 จำกัด,0575566001039,20.237180144571,100.06410567934,,,,โครงการโยนก67.csv
