project_id,project_name,project_type_name,dept_name,dept_sub_name,purchase_method_name,purchase_method_group_name,announce_date,project_money,price_build,sum_price_agree,budget_year,transaction_date,province,district,subdistrict,project_status,project_location,winner_tin,winner_name,contract_no,contract_date,contract_finish_date,contract_price_agree,contract_status
66079021729,"จ้างขุดลอกหนองช้างสาธารณประโยชน์ หมู่ที่ ๔ ตำบลโยนก อำเภอเชียงแสน จังหวัดเชียงราย ใช้ประโยชน์ร่วมกับ หมู่ที่ ๘ ตำบลท่าข้าวเปลือก อำเภอแม่จัน จังหวัดเชียงราย สภาพเดิมพื้นที่โดยเฉลี่ย ๓-๐-๕๐ ไร่ (๕,๐๐๐.๐๐ ตารางเมตร) ลึก ๒.๕๐ เมตร ขุดลอกใหม่ให้มีพื้นที่โดยเฉลี่ย ๓-๐-๕๐ ไร่ (๕,๐๐๐.๐๐ ตารางเมตร) ลึก ๔.๖๐ เมตร หรือปริมาตรดินขุดไม่น้อยกว่า ๙,๕๐๐.๐๐ ลูกบาศก์เมตร รายละเอียดตามแบบแปลนและรายการที่ อบจ.ชร. กำหนด โดยวิธีเฉพาะเจาะจง",จ้างก่อสร้าง,องค์การบริหารส่วนจังหวัดเชียงราย,องค์การบริหารส่วนจังหวัดเชียงราย,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,500000,500436,498000,2566,20 ก.ค. 66,เชียงราย,เชียงแสน,โยนก,ระหว่างดำเนินการ,POINT(100.06410567934101 20.2371801445711),0575564001571,บริษัท ภูริเดช คอร์ปอเรชั่น จำกัด,267/2566,20 ก.ค. 66,18 ต.ค. 66,498000,ระหว่างดำเนินการ
66017482870,จ้างขุดลอกคลองสูบน้ำสถานีพลังงานไฟฟ้า แห่งที่ 1 หมู่ที่ 4 ตำบลโยนก อำเภอเชียงแสน จังหวัดเชียงราย ใช้ประโยชน์ร่วมกับหมู่ที่ 8 ตำบลท่าข้าวเปลือก อำเภอแม่จัน จังหวัดเชียงราย โดยวิธีเฉพาะเจาะจง,จ้างก่อสร้าง,องค์การบริหารส่วนจังหวัดเชียงราย,องค์การบริหารส่วนจังหวัดเชียงราย,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,500000,500543,498000,2566,3 มี.ค. 66,เชียงราย,เชียงแสน,โยนก,ระหว่างดำเนินการ,POINT(100.06410567934101 20.2371801445711),0575552001007,บริษัท ห้าเล็บการโยธา จำกัด,123/2566,3 มี.ค. 66,2 พ.ค. 66,498000,ระหว่างดำเนินการ
66017436246,จ้างขุดลอกหนองคัน หมู่ที่ 4 ตำบลโยนก อำเภอเชียงแสน จังหวัดเชียงราย ใช้ประโยชน์ร่วมกับ หมู่ที่ 8 ตำบลท่าข้าวเปลือก อำเภอแม่จัน จังหวัดเชียงราย โดยวิธีเฉพาะเจาะจง,จ้างก่อสร้าง,องค์การบริหารส่วนจังหวัดเชียงราย,องค์การบริหารส่วนจังหวัดเชียงราย,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,500000,502055,498000,2566,6 ก.พ. 66,เชียงราย,เชียงแสน,โยนก,ระหว่างดำเนินการ,POINT(100.06410567934101 20.2371801445711),0573559003062,ห้างหุ้นส่วนจำกัด สุขเกษม ทรัพย์เพิ่่มพูน,88/2566,6 ก.พ. 66,7 เม.ย. 66,498000,ระหว่างดำเนินการ
66079380991,"จ้างธนาคารน้ำใต้ดินระบบเปิดหนองตีนผา  ม.4 ต.โยนก อ.เชียงแสน  จ.เชียงราย ขนาดพื้นที่ 2-3-87.5 ไร่ (4,750.00 ตร.ม.) ลึก  5.00 ม. หรือปริมาตรดินขุดไม่น้อยกว่า 7,400.00 ลบ.ม. รายละเอียดตามแบบแปลนและรายการที่องค์การบริหารส่วนจังหวัดเชียงรายกำหนด (สำนักช่าง) โดยวิธีเฉพาะเจาะจง",จ้างก่อสร้าง,องค์การบริหารส่วนจังหวัดเชียงราย,องค์การบริหารส่วนจังหวัดเชียงราย,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,500000,492000,490000,2566,21 ก.ค. 66,เชียงราย,เชียงแสน,โยนก,ระหว่างดำเนินการ,POINT(100.06410567934101 20.2371801445711),0573561001781,ห้างหุ้นส่วนจำกัด วรรณวัฒน์ 2018,273/2566,21 ก.ค. 66,19 ก.ย. 66,490000,ระหว่างดำเนินการ
66079360151,"จ้างโครงการธนาคารน้ำใต้ดินระบบเปิดหนองหว้าสาธารณประโยชน์ ม.๕ ต.โยนก อ.เชียงแสน จ.เชียงราย ขนาดกว้าง ๔๕.๐๐ ม. ยาว ๔๕.๐๐ ม. ลึก ๗.๕๐ ม. หรือปริมาตรดินขุดไม่น้อยกว่า ๗,๓๐๐.๐๐ ลบ.ม. รายละเอียดตามแบบแปลนและรายการที่ อบจ.ชร. กำหนด (สำนักช่าง) โดยวิธีเฉพาะเจาะจง",จ้างก่อสร้าง,องค์การบริหารส่วนจังหวัดเชียงราย,องค์การบริหารส่วนจังหวัดเชียงราย,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,500000,491000,490000,2566,18 ส.ค. 66,เชียงราย,เชียงแสน,โยนก,ระหว่างดำเนินการ,POINT(100.06410567934101 20.2371801445711),0573561001781,ห้างหุ้นส่วนจำกัด วรรณวัฒน์ 2018,322/2566,18 ส.ค. 66,17 ต.ค. 66,490000,ระหว่างดำเนินการ
66099596437,"จ้างขุดลอกห้วยเลาหลวง ใช้ประโยชน์ร่วมกันระหว่าง หมู่ที่ ๑, หมู่ที่ ๓ ตำบลโยนก อำเภอเชียงแสน จังหวัดเชียงราย สภาพเดิมพื้นที่โดยเฉลี่ย ๔-๑-๒๕ ไร่ (๖,๙๐๐.๐๐ ตารางเมตร) ลึกเฉลี่ย ๓.๕๐ เมตร ขุดลอกใหม่ให้มีพื้นที่โดยเฉลี่ย ๔-๑-๒๕ ไร่ (๖,๙๐๐.๐๐ ตารางเมตร) ลึกเฉลี่ย ๔.๕๐ เมตร หรือปริมาตรดินขุดไม่น้อยกว่า ๖,๙๐๐.๐๐ ลูกบาศก์เมตร รายละเอียดตามแบบแปลนและรายการที่ อบจ.ชร.กำหนด โดยวิธีเฉพาะเจาะจง",จ้างก่อสร้าง,องค์การบริหารส่วนจังหวัดเชียงราย,องค์การบริหารส่วนจังหวัดเชียงราย,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,489900,491000,488000,2566,27 ก.ย. 66,เชียงราย,เชียงแสน,โยนก,ระหว่างดำเนินการ,POINT(100.06410567934101 20.2371801445711),0573559002511,ห้างหุ้นส่วนจำกัด รุ่งทรัพย์เจริญกิจการโยธา,390/2566,27 ก.ย. 66,11 พ.ย. 66,488000,ระหว่างดำเนินการ
66099599752,"จ้างโครงการขุดลอกหนองป่าคาย้อย ใช้ประโยชน์ร่วมกันระหว่างหมู่ที่ 3, หมู่ที่ 6  ตำบลโยนก อำเภอเชียงแสน จังหวัดเชียงราย ขนาดสภาพเดิมโดยเฉลี่ยกว้าง 18.00 - 22.00 เมตร  ยาว 400.00 เมตร ลึก 3.00 เมตร ขุดลอกใหม่ให้มีขนาดกว้าง 18.00 - 22.00 เมตร ยาว 400.00 เมตร ลึก 5.50 เมตร หรือปริมาตรดินขุดไม่น้อยกว่า 10,800.00 ลูกบาศก์เมตร รายละเอียดตามแบบแปลนและรายการที่องค์การบริหารส่วนจังหวัดเชียงรายกำหนด  โดยวิธีเฉพาะเจาะจง",จ้างก่อสร้าง,องค์การบริหารส่วนจังหวัดเชียงราย,องค์การบริหารส่วนจังหวัดเชียงราย,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,434700,435400,433700,2566,27 ก.ย. 66,เชียงราย,เชียงแสน,โยนก,ระหว่างดำเนินการ,POINT(100.06410567934101 20.2371801445711),0573565001068,ห้างหุ้นส่วนจำกัด นิศา  พลัส,388/2566,27 ก.ย. 66,11 พ.ย. 66,433700,ระหว่างดำเนินการ
65117310673,"จ้างเหมาขุดสระเก็บน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลบ.ม. ประจำปีงบประมาณ 2566 พื้นที่ดำเนินการ ตำบลบ้านแซว ตำบลโยนก และตำบลเวียง อำเภอเชียงแสน จังหวัดเชียงราย โดยวิธีเฉพาะเจาะจง",จ้างก่อสร้าง,กรมพัฒนาที่ดิน,สถานีพัฒนาที่ดิน เชียงราย,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,323400,476000,323400,2566,28 ธ.ค. 65,เชียงราย,เชียงแสน,โยนก,ระหว่างดำเนินการ,POINT(100.06410567934101 20.2371801445711),0573536000024,ห้างหุ้นส่วนจำกัด เพิ่มพูนทรัพย์ วัสดุก่อสร้าง,22/2566,28 ธ.ค. 65,6 ก.พ. 66,323400,ระหว่างดำเนินการ
66079517969,จ้างจ้างปรับปรุงแผนที่ภาษีและทะเบียนทรัพย์สินของเทศบาลตำบลโยนก  ปีงบประมาณ ๒๕๖๖ โดยวิธีเฉพาะเจาะจง,จ้างทำของ/จ้างเหมาบริการ,เทศบาลตำบลโยนก,เทศบาลตำบลโยนก,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,250000,250000,248000,2566,10 ส.ค. 66,เชียงราย,เชียงแสน,โยนก,ระหว่างดำเนินการ,"{'lat': None, 'lon': None}",0653563001078,เอ็นแอนด์ที (2020) คอนสตรัคชั่น,1/2566,10 ส.ค. 66,8 พ.ย. 66,248000,ระหว่างดำเนินการ
66059427634,ซื้อจัดซ์ื้อวัสดุอุปกรณ์ของโครงการปรับสภาพแวดล้อมที่อยู่อาศัยสำหรับผู้พิการตำบลโยนก โดยวิธีเฉพาะเจาะจง,ซื้อ,เทศบาลตำบลโยนก,เทศบาลตำบลโยนก,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,118000,118000,118000,2566,26 พ.ค. 66,เชียงราย,เชียงแสน,โยนก,ระหว่างดำเนินการ,"{'lat': None, 'lon': None}",0573561004402,มิตรอารีย์2530,5/2566,26 พ.ค. 66,2 มิ.ย. 66,118000,ระหว่างดำเนินการ
